1 6
2 42
3 120
4 156
5 420
6 630
7 930
8 1428
9 1806
10 2016
11 2184
12 3192
13 4950
14 5256
15 8190
16 8364
17 8970
18 10296
19 10998
20 12210
21 17556
22 19110
23 21114
24 23994
25 24492
26 28050
27 32640
28 33306
29 34362
30 37506
31 39270
32 44310
33 52326
34 57684
35 57840
36 70686
37 74256
38 79800
39 83076
